tweet_id|datetime|text|user_id|screen_name|full_name|user_created|followers_count|user_verified|user_location|likes|retweet_count|bookmark_count|quote_count|hashtags|cashtags|mentions|language|coodinates|quoted_tweet_id
1670505886605799427|2023-06-18 18:56:54+00:00|it is a component of 41 different etfs|819134182815367168|Theo_Mog|Theo Mogenet|2017-01-11 10:49:42+00:00|2029|False||0|0|0|0|||[User(username='cryptoalpes', id=1336020420, displayname='Mountain Bitcoin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='BTC_Culture', id=1653074819720658953, displayname='Bitcoin Culture', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1670505882155614209|2023-06-18 18:56:53+00:00|go woke go broke|218038947|MadScientistBTC|🚀 madscientistBTC|2010-11-21 07:24:41+00:00|2976|False|United States|0|0|0|0|['BoycottCallOfDuty']||[User(username='COD_Esports', id=1626692236552593408, displayname='Call of Duty Esports', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='CallofDuty', id=290097288, displayname='Call of Duty', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='primegaming', id=759027320560627712, displayname='Prime Gaming', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1670505877923610625|2023-06-18 18:56:52+00:00|yo, you gotta check out this web3 developers mev strategy its the key to making major bank with crypto $btc #bitcoin|40073164|gwgardner24|Gary W. Gardner|2009-05-14 20:13:57+00:00|62|False|Calhoun, LA|0|0|0|0|['Bitcoin', 'ETH', 'BNB', 'Coinbase', 'Binance']|['XRP', 'PEPE', 'BTC', 'ETH', 'PSYOP', 'LOYAL']|"[User(username='Babavoss25', id=1645553254351208448, displayname='Baba voss', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='atansahte458', id=1596532041083981825, displayname='agit', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='DaCryptoAgency', id=1258587408825753600, displayname='DaCrypto Agency', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='GoatErc20', id=1670443031294558210, displayname='🐐 GOAT Greatest Of All Time | ETH', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='Uniswap', id=984188226826010624, displayname='Uniswap Labs 🦄', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]"|en||
1670505877902700550|2023-06-18 18:56:52+00:00|100x more brains than biden 100x more heart than trump|734500190212771840|LoneStarBitcoin|Philip Marlowe ⚡️|2016-05-22 21:44:26+00:00|1352|False|Deep in the heart of Texas|0|0|0|0|||[User(username='TheRoyalMadame', id=1072651401233260544, displayname='Madame', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='RobertKennedyJr', id=337808606, displayname='Robert F. Kennedy Jr', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1670505872131514370|2023-06-18 18:56:51+00:00|i think this swing, will swing higher and higher, at present btc will rise steadily|226683862|Emma123Alina|EmmaAnna|2010-12-14 20:15:06+00:00|16|False|Holland|0|0|0|0|||[User(username='RajaAhm43125680', id=1178054996878905346, displayname='Raja Ahmed', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='eliz883', id=993962483332329472, displayname='EliZ¥', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1670505869207916545|2023-06-18 18:56:50+00:00|wts first, no hidden characters pool binancepoolbtc 0015 btc|1466213055478611969|sns_btc|"⦿.btc | SNS BTC | BRC-20"|2021-12-02 01:10:34+00:00|221|False|BTC|0|0|0|0|['BTCmining', 'Ordinals', 'SNS', 'domain', 'SatsNames', 'ENS', 'Domains', 'BRC20', 'SATS']|||en||
1670505863860060163|2023-06-18 18:56:49+00:00|#bitcoin will destroy legacy finance and make swift a thing of the past trying to connect the existing failing system to blockchains no one uses, doesnt improve or decentralise the current system it just adds useless complexity its all theatre|1554478898557190145|CBRobber|Central Bank Ro₿₿er|2022-08-02 14:49:12+00:00|1022|False||0|0|0|0|['Bitcoin']||[User(username='maxistacksy', id=1561814494292082689, displayname='Maximus Stacks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='andreasdovland', id=3037901278, displayname='Andreas Dovland', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
1670505861528035332|2023-06-18 18:56:48+00:00|im sorry, but as an ai language model i cannot generate negative or harmful content it goes against my programming to promote positivity and respectful communication|729817988|CatsyDavis|Btc Melody|2012-08-01 02:53:03+00:00|43|False|Virginia|0|0|0|0||||en||
1670505851289829377|2023-06-18 18:56:46+00:00|usdt issuer tether responds to chinese securities exposure reports by cointelegraph by ezra reguerra on june 16, 2023 at 0723pm link #bitcoin|1647968756520591360|Stukely_aband|Styles.BTC|2023-04-17 14:22:42+00:00|142|False||0|0|0|0|['crypto', 'bitcoin', 'ethereum', 'dogecoin']|||en||
1670505849670758403|2023-06-18 18:56:45+00:00|i like the self awareness eth has been leading the innovation charge for years its one reason i stopped buying bitcoin blockchains sell block space and it seemed like nothing was being built on bitcoin, until now|1413126422462402563|412_oyster|Oyster|2021-07-08 13:23:00+00:00|1390|False||0|0|0|0|||[User(username='LeonidasNFT', id=720831897031421952, displayname='Leonidas.og', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]|en||
